"","hsa01521","hsa01522","hsa01523","hsa01524","hsa03013","hsa03015","hsa03018","hsa03440","hsa03460","hsa04010","hsa04012","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04064","hsa04066","hsa04068","hsa04071","hsa04072","hsa04080","hsa04110","hsa04114","hsa04115","hsa04122","hsa04130","hsa04136","hsa04137","hsa04140","hsa04141","hsa04150","hsa04151","hsa04152","hsa04210","hsa04211","hsa04213","hsa04217","hsa04218","hsa04261","hsa04270","hsa04310","hsa04330","hsa04340","hsa04350","hsa04360","hsa04370","hsa04371","hsa04380","hsa04390","hsa04392","hsa04510","hsa04512","hsa04514","hsa04520","hsa04530","hsa04540","hsa04550","hsa04610","hsa04611","hsa04612","hsa04614","hsa04620","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04668","hsa04670","hsa04672","hsa04710","hsa04713","hsa04714","hsa04720","hsa04722","hsa04723","hsa04724","hsa04725","hsa04726","hsa04727","hsa04728","hsa04730","hsa04740","hsa04742","hsa04744","hsa04750","hsa04810","hsa04910","hsa04911","hsa04912","hsa04913","hsa04914","hsa04915","hsa04916","hsa04917","hsa04918","hsa04919","hsa04920","hsa04921","hsa04922","hsa04923","hsa04924","hsa04925","hsa04926","hsa04927","hsa04928","hsa04930","hsa04931","hsa04932","hsa04933","hsa04934","hsa04940","hsa04950","hsa04960","hsa04961","hsa04962","hsa04970","hsa04971","hsa04972","hsa04973","hsa04976","hsa04979","hsa05010","hsa05012","hsa05014","hsa05016","hsa05020","hsa05030","hsa05031","hsa05032","hsa05034","hsa05100","hsa05110","hsa05120","hsa05130","hsa05131","hsa05132","hsa05133","hsa05134","hsa05140","hsa05142","hsa05143","hsa05144","hsa05145","hsa05146","hsa05150","hsa05152","hsa05160","hsa05161","hsa05162","hsa05163","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05169","hsa05200","hsa05203","hsa05205","hsa05206","hsa05210","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05216","hsa05217","hsa05218","hsa05219","hsa05220","hsa05221","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05230","hsa05231","hsa05310","hsa05320","hsa05321","hsa05322","hsa05323","hsa05330","hsa05332","hsa05412","hsa05414","hsa05416","hsa05418","hsa04150v1","hsa04150v2"
"DDR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39986585306373,NA,NA,NA,0.181429637878411,-0.628629535094786,NA,NA,NA,-1.23455582853087,NA,-2.06426235093202,NA,-1.35837656362197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49938041401931,NA,NA,-0.948550481158384,-1.8300443585352,NA,NA,-1.75297749358924,NA,-2.67807501928798,NA,NA,NA,NA,NA,NA,NA,-1.83149770962855,1.30466075020585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.28041171393717,NA,NA,NA,0.848440312830656,-0.733755112062336,1.39346176766825,NA,-0.387914800069544,NA,NA,NA,-0.817161068163818,NA,NA,-0.939952325313934,-2.02460451827709,NA,NA,1.25397110715658,NA,2.03898673050194,NA,NA,-1.04361765567368,NA,-1.73279765503594,NA,0.25268679240128,NA,NA,NA,NA,NA,-1.20177346485275,NA,NA,-2.78714843092122,NA,NA,0.159405429066814,NA,NA,NA,-2.2103158372841,NA,1.49306226620794,NA,2.07801408024152,NA,NA,-2.02569370762185,NA,NA,NA,NA,NA,-2.69990852268844,NA,NA,NA,NA,NA,NA,-1.18094520518252,NA,NA,NA,NA,NA,NA,-1.89433957767969,1.45671439059655,NA,NA,NA,NA,-1.48972370984663,-1.55021209990446,1.67599437429303,NA,NA,NA,NA,-0.775001730762147,NA,NA,2.1897129239948,NA,NA,NA,NA,NA,1.68459673063489,NA,NA,NA,NA,2.93242920143962,-0.481034380135787,NA,NA,NA,NA,-1.17874692789952,-0.799083008909951,NA,NA,NA,-1.92846566417666,-1.74281409719741,NA,NA,NA,-1.41212377687089,NA,NA,NA,NA,NA,-1.74847548535134,-0.418298498308078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69608287834273,NA,NA,NA
"PAX8",NA,-2.1502571802095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57076932943166,NA,NA,NA,NA,NA,-0.177616217545845,NA,NA,NA,NA,NA,-2.75981056478084,NA,0.928182590993827,NA,NA,NA,NA,NA,0.583528413586129,-0.762044370063896,NA,-2.10698630905059,NA,-0.0888170237808789,NA,NA,-0.150005005646966,NA,NA,NA,NA,2.54260738305929,NA,-1.66727997571945,NA,NA,NA,NA,-1.95099688603086,NA,NA,NA,-1.95232215011399,NA,NA,1.72346051189008,NA,NA,-0.153450127428671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01965158954537,NA,4.65201467122979,NA,NA,NA,NA,NA,-3.46352211347911,NA,NA,-1.25411293768661,NA,NA,NA,-1.31711374274237,NA,-2.37947485270476,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279974161508782,NA,-2.62960581825948,NA,NA,2.87106097086095,NA,NA,-1.51868903103694,-3.00899301987599,2.35090209911582,NA,NA,NA,NA,NA,NA,0.669788859834482,NA,NA,NA,NA,NA,-1.62396563392223,NA,NA,0.769092727359778,NA,NA,NA,NA,0.872007641482884,NA,2.00051200487113,NA,1.26156197267485,-2.05254183429625,2.22795375849508,NA,NA,-2.05604284997458,NA,-1.68440514536175,1.69012512964793,NA,-2.03164610923344,NA,NA,NA,0.898331539761647,NA,NA,4.00708874365371,NA,NA,NA,0.453566831210302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08478975320923,4.74222795821243,NA,NA,NA,NA,4.76122745828977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83792647314243,NA
"RPS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12638267859944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75546948146206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.94095440477393,-1.0087746074901,NA,NA,NA,NA,NA,NA,-0.465820005156639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11964924217334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19666484974616,NA,NA,NA,NA,NA,NA,NA,-0.536971082572245,NA,NA,NA,-1.07661352612133,-0.993555738216068,-1.61829317072572,NA,NA,NA,NA,NA,-0.659102187734002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39080351286371
"ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPAG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88702831639846,NA,NA,NA,0.339803541471215,NA,NA,NA,-0.903554155108459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.18477840408942,-0.87600516164345,NA,NA,NA,0.986046612062149,NA,NA,NA,-1.84030631516433,-0.938794740466499,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79857812125996,NA,NA,NA,NA,NA,NA,-0.806494331360183,NA,-1.52229800113591,-0.77867783231078,NA,NA,-0.857970216352423,-0.269043793710702,-1.87926912956217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.792254660203605,NA,-1.48955200131872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765668646472944,NA,NA,NA,NA,NA,NA,-1.13367077579963,NA,NA,NA,NA,NA,NA,NA,-1.16017617241123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79922318358328,NA,NA,NA,NA,NA,NA,NA,-1.05533420164484,NA,NA,-1.55928090118569,NA,NA,NA,NA,NA,NA,NA,-0.698658681879179,0.329286288014848,NA,-1.89048679377445,NA,-0.705993313588692,-2.08277832230066,NA,-1.68998067256586,NA,-2.3667683599543,-0.479576798045701,NA,-1.28624491350881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02567147076801,NA,-1.73265328997685,NA,NA,NA,-2.75543248074294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57186557216243,2.6958235795259,NA,NA
"RHOA",NA,NA,NA,-1.69671075531705,NA,NA,NA,NA,NA,NA,NA,-1.79417944639992,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61144392494469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.42555167149882,NA,NA,NA,-1.90047920435127,NA,NA,NA,NA,1.19004911784994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02204354026036,NA,-0.231871807636007,NA,2.70136005159867,2.61327811241733,NA,NA,NA,NA,NA,NA,NA,-0.926270737243117,NA,-1.82199939510168,NA,NA,NA,NA,NA,1.37203969749386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.726727371933352,-1.00182524539454,NA,NA,NA,NA,NA,NA,2.17877619578703,-1.87585019287409,NA,-2.46446914273744,NA,NA,NA,NA,-1.79597681473178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19197361682106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53658956093126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01109031689185,NA,NA,NA,NA,NA,-2.24910738686135,NA,NA,2.78798955298257,NA,1.38974547909852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.30440315702329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.782869181878849,NA,NA,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05602734788527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37826322126591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03895373542403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.499932805024975,NA,2.61897817406117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29543445698637,NA,NA,NA,NA,NA,NA,NA,-2.1029637918829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16426903987922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82935452942481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41956299538225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.46158323783482,NA,NA
"SMNDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.768515161299907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95732249210884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V0B",-0.298063147214755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40351812555433,2.18103057585737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.89746305335674,NA,NA,-1.98487684724693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378770899673791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13540902987582,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08753622530448,2.09793727252294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.921363181833384,NA,-1.37365188097912,NA,NA,NA,-1.67785402534839,NA,NA,NA,1.89911630367253,NA,NA,NA,0.830352206192204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58525817962843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68494896613981,-1.21765044337056,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70574691906977,NA,-2.04017345648629,NA,NA,NA,NA,NA,NA,NA,NA,-1.89538484084843,-1.81557742225612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13751873073171,NA,-1.65209080943767,-1.12730679083793
"RPS6",-1.71014672347759,NA,NA,NA,NA,NA,NA,NA,NA,-2.2157539973416,-3.08631920420259,-1.72795199729822,NA,-2.50657965964209,NA,NA,NA,NA,NA,-2.28162079877612,NA,-1.74940005533317,-2.77726331715335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.19103083376316,-3.36155341474619,-0.89253149420598,NA,NA,NA,-1.71739805447271,NA,NA,NA,1.54687101938075,NA,NA,-1.37927029660691,-1.61580776096337,-1.8517538847257,NA,2.00392057476703,NA,NA,NA,NA,NA,NA,-2.25025224611621,-2.1369167551406,NA,-1.92587025218927,NA,NA,-1.13466957880671,NA,NA,-0.65503913994809,-3.3339012950634,-2.23825398863507,-0.499289637968656,NA,-1.3328951477256,-1.71267844354125,-2.15045467880107,-0.549518251410705,NA,-1.40451252518004,NA,NA,NA,NA,NA,NA,NA,NA,-1.71466464690336,-1.43893357123322,-1.1468286776,2.16942139914847,-1.13311516089442,NA,NA,NA,NA,NA,-1.65894475258688,NA,NA,NA,-2.10608303781279,NA,NA,NA,1.57952200959074,NA,NA,-1.7711499344392,NA,NA,NA,1.90846650642628,NA,NA,-2.11364946810818,NA,NA,NA,NA,-2.86913842866047,NA,NA,NA,NA,NA,NA,-0.94936427382832,NA,-2.34898513274011,NA,NA,NA,NA,-1.88525299028804,NA,NA,NA,-1.70014069857216,1.81383130405436,-1.24344848051957,NA,0.57905736194996,NA,NA,NA,NA,NA,1.61250840035296,-1.1676951717333,1.58388067933844,NA,-1.75886779883864,NA,NA,NA,NA,NA,NA,-1.75583815658578,-2.6762288475495,NA,-2.33784912719922,-1.62109942616448,5.03975010293872,-3.36393437603583,-2.13602478830075,-1.68119612109241,-1.30543994834229,NA,NA,NA,NA,-1.66224400015464,-2.41575954953134,-2.22913669020549,-0.765491610370094,-1.85012667563436,-2.27355336776666,NA,NA,-1.42639054590187,-0.995846195856484,-1.59795225893331,-1.23689152179783,-0.0366620310484917,-0.313529415166693,-1.16391342285508,-1.55536507558828,-1.9109135527425,-2.41389157793948,NA,NA,NA,NA,NA,-0.775871428906337,NA,NA,NA,NA,-0.972383941848545,NA,NA,NA
"USP22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13420065202552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.615443159790538,NA,NA,NA,NA,-2.13340141253578,-1.15835240431535,NA,NA,-0.542959067055779,-1.94136435530271,-1.06995105286551,NA,-1.52464099016361,NA,NA,NA,NA,NA,2.2369734594573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14713960480602,NA,NA,1.42449556372543,NA,3.11776974084608,NA,NA,NA,NA,NA,1.85707712671683,-1.45840475433014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.94906389256018,NA,NA,NA,NA,-3.10951608224023,-1.91267475964412,NA,NA,NA,NA,NA,-1.44210658365489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05465217766197,-1.658564613562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5959709704994,NA,NA,NA
"APP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19973661935541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31233227235126,NA,NA,NA,NA,NA,NA,-1.83834208161379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6497459463457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145906457508388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68718889117218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85192365267883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.606283179895728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31520009805088,NA,NA,NA,NA,NA,-0.675615033743905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60492539718834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14702859029081,2.00668688720362,NA,NA,NA,NA,-1.68443585713221,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77232409372915,0.559890862125752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33792326221964,NA,NA,NA,2.45903765442958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17412312841994,NA,NA,NA,NA,NA,-0.32429953821994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSRP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351121941229087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07217202487438,NA,NA,NA,1.99571749601016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90150104711453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTPRF",1.12193493852524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7825544040091,2.92321942846519,NA,NA,NA,NA,2.09021906028562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.94320003430804,NA,NA,2.65293046419413,NA,2.17256934746438,NA,NA,NA,-2.22052805866455,NA,0.950370416616906,NA,NA,NA,2.61844515913239,3.28830451990399,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92331151702512,NA,NA,NA,NA,NA,NA,0.454210953375475,-1.1108345296459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70715787612361,NA,NA,NA,NA,NA,2.03545541747976,NA,NA,NA,NA,NA,NA,NA,NA,-1.57416692419656,NA,NA,NA,3.48389720635927,NA,NA,NA,NA,NA,NA,NA,1.73913946746173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89095296257394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07595484506004,NA,-2.04679867426149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3100226402875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62069718073514,NA,0.925293041647705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95195835947231,NA,-1.22930419540307,NA,NA,2.69580715220531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
